Afghanistan, Kabul
MONACO, MONACO
MONGOLIA, ULAANBAATAR
MONTENEGRO,PODGORICA
MOROCCO, RABAT
MOZAMBIQUE, MAPUTO
MYANMAR(Burma), NAY PYI TAW
NAMIBIA, WINDHOEK
NAURU, YAREN DISTRICT
NEPAL, KATHMANDU
NETHERLANDS, AMSTERDAM
NEW ZEALAND, WELLINGTON
NICARAGUA, MANAGUA
NIGER, NIAMEY
NIGERIA, ABUJA
NORTH KOREA, PYONGYANG
NORTH MACEDONIA (formerly Macedonia), SKOPJE
NORWAY, OSLO
OMAN, MUSCAT
PAKISTAN, ISLAMABAD
PALAU, NGERULMUD
PANAMA, PANAMA CITY
PAPUA NEW GUINEA, PORT MORESBY
PARAGUAY, ASUNCION
PERU, LIMA
PHILIPPINES, MANILA
POLAND, WARSAW
PORTUGAL, LISBON
QATAR, DOHA
ROMANIA, BUCHAREST
RUSSIA, MOSCOW
RWANDA, KIGALI
SAINT KITTS & NEVIS, BASSETERRE
SAINT LUCIA, CASTRIES
SAINT VINCENT & THE GRENADINES, KINGSTOWN
SAMOA, APIA
SAN MARINO, SAN MARINO
SÃO TOMÉ & PRÍNCIPE, SAO TOME
SAUDI ARABIA, RIYADH
SENEGAL, DAKAR
SERBIA, BELGRADE
SEYCHELLES, VICTORIA
SIERRA LEONE, FREETOWN
SINGAPORE, SINGAPORE
SLOVAKIA, BRATISLAVA
SLOVENIA, LJUBLJANA
SOLOMON ISLANDS, HONIARA
SOMALIA, MOGADISHU
SOUTH AFRICA, CAPE TOWN
SOUTH KOREA, SEOUL
SOUTH SUDAN, JUBA
SPAIN, MADRID
SRI LANKA, COLOMBO
SUDAN, KHARTOUM
SURINAME, PARAMARIBO
SWEDEN, STOCKHOLM
SWITZERLAND, BERN
SYRIA, DAMASCUS
TAJIKISTAN, DUSHANBE
TANZANIA, DODOMA
THAILAND, BANGKOK
TIMOR-LESTE, DILI
TOGO, LOME
TONGA, NUKU ALOFA
TRINIDAD & TOBAGO, PORT OF SPAIN
TUNISIA, TUNIS
TURKEY, ANKARA
TURKMENISTAN, ASHGABAT
TUVALU, FUNAFUTI
UGANDA, KAMPALA
UKRAINE ,KIEV
UNITED ARAB EMIRATES (UAE), ABU DHABI
UNITED KINGDOM (UK)*, LONDON
UNITED STATES OF AMERICA (USA), WASHINGTON D.C.
URUGUAY, MONTEVIDEO
UZBEKISTAN, TASHKENT
VANUATU, PORT VILA
VATICAN CITY (Holy See), VATICAN CITY
VENEZUELA, CARACAS
VIETNAM, HANOI
YEMEN, SANAA
ZAMBIA, LUSAKA
ZIMBABWE, HARARE
